# kind	commit	bench	measured	ms
rat-O1	7792109f3d8c3e3b27e175bc4399a42bf89bd62f	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:00:59+00:00	11744
rat-O0	77034ffcb85c8c69712fd808965ee098e418ac04	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:01:55+00:00	7628
rat-O1	77034ffcb85c8c69712fd808965ee098e418ac04	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:03:05+00:00	11739
rat-O0	c5b4bd4edd4a3bdcfc8b9b3fed4d420e5e8c7d81	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:04:01+00:00	7627
rat-O1	c5b4bd4edd4a3bdcfc8b9b3fed4d420e5e8c7d81	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:05:12+00:00	11784
rat-O0	4c91f785ee564a1517743e5845785f928585715e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:06:07+00:00	7651
rat-O1	4c91f785ee564a1517743e5845785f928585715e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:07:18+00:00	11816
rat-O0	87b6a3c8f83adb2ad08101537fdfcddb3fd2e01c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:08:14+00:00	7612
rat-O1	87b6a3c8f83adb2ad08101537fdfcddb3fd2e01c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:09:24+00:00	11723
rat-O0	0f40c28549ba3a86c1f1887a3a09359f8309f691	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:10:20+00:00	7636
rat-O1	0f40c28549ba3a86c1f1887a3a09359f8309f691	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:11:30+00:00	11746
rat-O0	071403aa45fe1a7748bc261847d7042ac16e6b4d	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:12:26+00:00	7647
rat-O1	071403aa45fe1a7748bc261847d7042ac16e6b4d	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:13:43+00:00	12706
rat-O0	f8d0021dc34cbefba9bd030614af56b8f0f789ff	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:14:38+00:00	7647
rat-O1	f8d0021dc34cbefba9bd030614af56b8f0f789ff	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:15:55+00:00	12778
rat-O0	a467c35ea572e472ae5bc3423849e3926d31d235	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:16:50+00:00	7623
rat-O1	a467c35ea572e472ae5bc3423849e3926d31d235	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:18:07+00:00	12801
rat-O0	8de0dbf553714eea405d222f3415826195b892f2	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:19:03+00:00	7628
rat-O1	8de0dbf553714eea405d222f3415826195b892f2	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:20:19+00:00	12734
rat-O0	351cda33f0b5d1f9f7ea03ab843fc819cde9849b	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:21:15+00:00	7644
rat-O1	351cda33f0b5d1f9f7ea03ab843fc819cde9849b	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:22:31+00:00	12748
rat-O0	2f6cb9bb69d62eaf40a7a7d2a096ad79afcd79b1	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:23:27+00:00	7622
rat-O1	2f6cb9bb69d62eaf40a7a7d2a096ad79afcd79b1	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:24:43+00:00	12713
rat-O0	c049cdd357226fc4570186b2decf9f072db4683c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:25:39+00:00	7667
rat-O1	c049cdd357226fc4570186b2decf9f072db4683c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:26:55+00:00	12701
rat-O0	690c39a6260d6ded99d3006a2a866839a454f9d6	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:27:51+00:00	7642
rat-O1	690c39a6260d6ded99d3006a2a866839a454f9d6	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T10:29:07+00:00	12712
